.
.
.
.
W. Punct: ucorr: 45533, lcorr: 44270, total: 54311, uas: 83.84%, las: 81.51%, ucm: 29.51%, lcm: 23.56%
Wo Punct: ucorr: 45533, lcorr: 44270, total: 54311, uas: 83.84%, las: 81.51%, ucm: 29.51%, lcm: 23.56%
Root: corr: 3799, total: 3799, acc: 100.00%
----------------------------------------------------------------------------------------------------------------------------
best dev  W. Punct: ucorr: 45905, lcorr: 44659, total: 54311, uas: 84.52%, las: 82.23%, ucm: 30.64%, lcm: 24.48% (epoch: 15)
best dev  Wo Punct: ucorr: 45905, lcorr: 44659, total: 54311, uas: 84.52%, las: 82.23%, ucm: 30.64%, lcm: 24.48% (epoch: 15)
best dev  Root: corr: 3799, total: 3799, acc: 100.00% (epoch: 15)
----------------------------------------------------------------------------------------------------------------------------
best test W. Punct: ucorr: 50324, lcorr: 48843, total: 57688, uas: 87.23%, las: 84.67%, ucm: 48.13%, lcm: 40.92% (epoch: 15)
best test Wo Punct: ucorr: 50324, lcorr: 48843, total: 57688, uas: 87.23%, las: 84.67%, ucm: 48.13%, lcm: 40.92% (epoch: 15)
best test Root: corr: 5816, total: 5816, acc: 100.00% (epoch: 15)
============================================================================================================================
Epoch 20 (FastLSTM, optim: adam, learning rate=0.001000, eps=1.0e-08, decay rate=0.75 (schedule=20, patient=4, decay=0 (9, 5))):
train: 10/1561 loss (leaf, non_leaf): 1.2395, arc: 0.5816 (0.2857, 0.2960), type: 0.6578 (0.0135, 0.6443), coverage: 0.8984, time
train: 20/1561 loss (leaf, non_leaf): 1.2775, arc: 0.5924 (0.2944, 0.2980), type: 0.6851 (0.0095, 0.6755), coverage: 0.8620, time
train: 30/1561 loss (leaf, non_leaf): 1.2679, arc: 0.5931 (0.2933, 0.2999), type: 0.6748 (0.0089, 0.6659), coverage: 0.8526, time
train: 40/1561 loss (leaf, non_leaf): 1.2238, arc: 0.5572 (0.2737, 0.2836), type: 0.6666 (0.0081, 0.6586), coverage: 0.7770, time
train: 50/1561 loss (leaf, non_leaf): 1.1985, arc: 0.5287 (0.2609, 0.2678), type: 0.6698 (0.0072, 0.6626), coverage: 0.7177, time
train: 60/1561 loss (leaf, non_leaf): 1.2708, arc: 0.6001 (0.2930, 0.3071), type: 0.6707 (0.0087, 0.6620), coverage: 0.9123, time
train: 70/1561 loss (leaf, non_leaf): 1.3430, arc: 0.6621 (0.3183, 0.3438), type: 0.6809 (0.0104, 0.6705), coverage: 1.1445, time
train: 80/1561 loss (leaf, non_leaf): 1.3297, arc: 0.6572 (0.3208, 0.3364), type: 0.6725 (0.0101, 0.6624), coverage: 1.1211, time
train: 90/1561 loss (leaf, non_leaf): 1.3425, arc: 0.6699 (0.3236, 0.3463), type: 0.6726 (0.0109, 0.6617), coverage: 1.1874, time
train: 100/1561 loss (leaf, non_leaf): 1.3384, arc: 0.6699 (0.3258, 0.3441), type: 0.6685 (0.0105, 0.6580), coverage: 1.1814, time
train: 110/1561 loss (leaf, non_leaf): 1.3434, arc: 0.6761 (0.3312, 0.3449), type: 0.6673 (0.0101, 0.6572), coverage: 1.1764, time
train: 120/1561 loss (leaf, non_leaf): 1.3478, arc: 0.6778 (0.3337, 0.3441), type: 0.6700 (0.0098, 0.6602), coverage: 1.1799, time
train: 130/1561 loss (leaf, non_leaf): 1.3362, arc: 0.6708 (0.3290, 0.3417), type: 0.6654 (0.0096, 0.6558), coverage: 1.1607, time
train: 140/1561 loss (leaf, non_leaf): 1.3263, arc: 0.6637 (0.3252, 0.3385), type: 0.6626 (0.0092, 0.6534), coverage: 1.1385, time
train: 150/1561 loss (leaf, non_leaf): 1.3290, arc: 0.6639 (0.3261, 0.3378), type: 0.6651 (0.0091, 0.6560), coverage: 1.1407, time
train: 160/1561 loss (leaf, non_leaf): 1.3420, arc: 0.6738 (0.3312, 0.3426), type: 0.6682 (0.0091, 0.6591), coverage: 1.1800, time
train: 170/1561 loss (leaf, non_leaf): 1.3327, arc: 0.6687 (0.3275, 0.3411), type: 0.6640 (0.0092, 0.6549), coverage: 1.1650, time
train: 180/1561 loss (leaf, non_leaf): 1.3276, arc: 0.6653 (0.3268, 0.3385), type: 0.6623 (0.0093, 0.6530), coverage: 1.1531, time
train: 190/1561 loss (leaf, non_leaf): 1.3208, arc: 0.6595 (0.3239, 0.3356), type: 0.6613 (0.0090, 0.6523), coverage: 1.1361, time
train: 200/1561 loss (leaf, non_leaf): 1.3255, arc: 0.6618 (0.3244, 0.3374), type: 0.6636 (0.0090, 0.6546), coverage: 1.1380, time
train: 210/1561 loss (leaf, non_leaf): 1.3294, arc: 0.6644 (0.3254, 0.3390), type: 0.6650 (0.0092, 0.6557), coverage: 1.1399, time
train: 220/1561 loss (leaf, non_leaf): 1.3240, arc: 0.6611 (0.3242, 0.3369), type: 0.6629 (0.0091, 0.6538), coverage: 1.1292, time
train: 230/1561 loss (leaf, non_leaf): 1.3259, arc: 0.6618 (0.3245, 0.3374), type: 0.6641 (0.0090, 0.6552), coverage: 1.1294, time
train: 240/1561 loss (leaf, non_leaf): 1.3285, arc: 0.6630 (0.3256, 0.3373), type: 0.6655 (0.0092, 0.6564), coverage: 1.1367, time
train: 250/1561 loss (leaf, non_leaf): 1.3247, arc: 0.6600 (0.3239, 0.3361), type: 0.6647 (0.0092, 0.6554), coverage: 1.1261, time
train: 260/1561 loss (leaf, non_leaf): 1.3261, arc: 0.6622 (0.3255, 0.3367), type: 0.6639 (0.0092, 0.6546), coverage: 1.1373, time
train: 270/1561 loss (leaf, non_leaf): 1.3258, arc: 0.6618 (0.3251, 0.3368), type: 0.6640 (0.0091, 0.6549), coverage: 1.1316, time
